構成,件数,出現率%,CI下限,CI上限,配当中央値,配当平均,配当最大,全通り買い回収率%,平均点数
本命＋本命＋中穴,5042,30.2641,29.5711,30.9662,1850,2275,17990,76.5516,8.99
本命＋中穴＋穴,3338,20.0360,19.4351,20.6507,14300,22883,416750,65.3365,70.17
本命＋本命＋穴,2795,16.7767,16.2170,17.3518,6120,9577,294330,68.6910,23.39
本命＋中穴＋中穴,1853,11.1224,10.6539,11.6089,4900,5924,31190,73.3321,8.99
本命＋本命＋本命,1507,9.0456,8.6194,9.4907,700,843,4590,76.2143,1.00
本命＋穴＋穴,1015,6.0924,5.7392,6.4659,40380,69949,1075730,46.4914,91.66
中穴＋穴＋穴,462,2.7731,2.5344,3.0335,90900,159940,2141740,48.3862,91.66
中穴＋中穴＋穴,458,2.7491,2.5115,3.0085,32890,50664,447470,59.5458,23.39
穴＋穴＋穴,111,0.6663,0.5536,0.8017,206620,355380,3554740,31.1239,76.08
中穴＋中穴＋中穴,79,0.4742,0.3807,0.5905,13740,15371,43830,73.0658,1.00
