層の種類,層,母数,穴＋穴＋本命の回収率%,穴＋中穴＋中穴の回収率%,差pt,反転
全体,全体,16660,46.49,59.55,+13.05,
頭数,3-9頭,1700,27.66,26.56,-1.10,YES
頭数,10-12頭,3414,45.61,62.94,+17.33,
頭数,13-14頭,2959,53.33,44.04,-9.29,YES
頭数,15-16頭,7125,45.14,64.16,+19.02,
頭数,17-18頭,1462,46.40,64.62,+18.22,
年,2021,1084,50.57,44.13,-6.44,YES
年,2022,3329,49.26,59.02,+9.75,
年,2023,3321,49.72,59.70,+9.98,
年,2024,3318,42.65,77.82,+35.17,
年,2025,3325,49.07,49.51,+0.43,
年,2026,2283,37.69,55.97,+18.28,
場,札幌,838,64.40,45.54,-18.87,YES
場,函館,720,33.35,48.62,+15.27,
場,福島,1111,48.70,54.74,+6.04,
場,新潟,1474,52.45,55.05,+2.60,
場,東京,2598,45.18,52.21,+7.04,
場,中山,2423,42.08,61.01,+18.93,
場,中京,2024,46.58,65.57,+18.99,
場,京都,1818,36.05,80.82,+44.77,
場,阪神,2377,41.62,74.85,+33.24,
場,小倉,1277,65.11,32.43,-32.69,YES
