構成,件数,出現率%,CI下限,CI上限,配当中央値,配当平均,配当最大,全通り買い回収率%,平均点数,最大点数
本命＋本命＋中穴,5042,30.2641,29.5711,30.9662,1850,2275,17990,76.5516,8.99,9
本命＋中穴＋穴,3064,18.3914,17.8104,18.9869,13130,18130,178180,68.3358,48.79,54
本命＋本命＋穴,2574,15.4502,14.9093,16.0070,5705,7546,93170,71.6772,16.26,18
本命＋中穴＋中穴,1853,11.1224,10.6539,11.6089,4900,5924,31190,73.3321,8.99,9
本命＋本命＋本命,1507,9.0456,8.6194,9.4907,700,843,4590,76.2143,1.00,1
本命＋穴＋穴,794,4.7659,4.4527,5.1000,32935,46210,658520,57.4433,38.34,45
中穴＋中穴＋穴,418,2.5090,2.2822,2.7577,30570,40674,254640,62.7446,16.26,18
中穴＋穴＋穴,330,1.9808,1.7800,2.2037,66730,93799,1072240,48.4613,38.34,45
本命＋中穴＋大穴,274,1.6447,1.4624,1.8492,54840,76029,416750,58.4908,21.38,54
本命＋本命＋大穴,221,1.3265,1.1637,1.5118,25150,33239,294330,61.8752,7.13,18
本命＋穴＋大穴,211,1.2665,1.1076,1.4479,94610,142958,1075730,42.3465,42.76,108
中穴＋穴＋大穴,126,0.7563,0.6356,0.8997,218220,306579,2141740,54.2302,42.76,108
中穴＋中穴＋中穴,79,0.4742,0.3807,0.5905,13740,15371,43830,73.0658,1.00,1
穴＋穴＋穴,67,0.4022,0.3168,0.5104,136050,169430,657540,41.5344,16.41,20
中穴＋中穴＋大穴,40,0.2401,0.1764,0.3268,155335,155061,447470,52.2447,7.13,18
穴＋穴＋大穴,38,0.2281,0.1662,0.3129,472445,549739,1525190,35.1925,35.63,90
本命＋大穴＋大穴,10,0.0600,0.0326,0.1105,440760,414369,744050,23.5319,10.57,45
中穴＋大穴＋大穴,6,0.0360,0.0165,0.0786,745215,718265,1357680,24.4741,10.57,45
穴＋大穴＋大穴,6,0.0360,0.0165,0.0786,926445,1200875,3554740,20.4592,21.14,90
大穴＋大穴＋大穴,0,0.0000,0.0000,0.0231,0,0,0,0.0000,2.90,20
