層の種類,層,母数,穴＋穴＋本命%,穴＋中穴＋中穴%,差pt,反転
全体,全体,16660,57.44,62.74,+5.30,
頭数,3-9頭,1700,27.66,26.56,-1.10,YES
頭数,10-12頭,3414,45.61,62.94,+17.33,
頭数,13-14頭,2959,63.49,50.75,-12.75,YES
頭数,15-16頭,7125,58.81,69.88,+11.07,
頭数,17-18頭,1462,62.28,66.82,+4.54,
年,2021,1084,63.32,48.76,-14.56,YES
年,2022,3329,57.86,68.80,+10.94,
年,2023,3321,60.91,74.36,+13.45,
年,2024,3318,53.34,62.73,+9.40,
年,2025,3325,59.39,54.59,-4.79,YES
年,2026,2283,52.06,55.49,+3.42,
場,札幌,838,67.40,45.32,-22.08,YES
場,函館,720,48.49,45.90,-2.59,YES
場,福島,1111,64.61,55.31,-9.31,YES
場,新潟,1474,62.25,65.73,+3.49,
場,東京,2598,56.36,54.59,-1.77,YES
場,中山,2423,51.90,65.51,+13.61,
場,中京,2024,67.45,81.13,+13.68,
場,京都,1818,61.49,58.30,-3.18,YES
場,阪神,2377,45.43,80.96,+35.53,
場,小倉,1277,56.80,43.13,-13.67,YES
