層の種類,層,母数,穴＋穴＋本命%,穴＋中穴＋中穴%,差pt(A-B),CI下限,CI上限,CIが0を含む,素のp(両側),Bonferroni p,BH q,判定
全体,全体,16660,57.44,62.74,-5.30,-15.24,+4.50,YES,0.3007,-,-,（基準・多重比較の対象外）
頭数,3-9頭,1700,27.66,26.56,+1.10,-24.51,+26.16,YES,0.9388,1.0000,0.9388,区別できない
頭数,10-12頭,3414,45.61,62.94,-17.33,-39.27,+3.66,YES,0.1111,1.0000,0.7093,区別できない
頭数,13-14頭,2959,63.49,50.75,+12.75,-8.85,+34.94,YES,0.2449,1.0000,0.7093,区別できない
頭数,15-16頭,7125,58.81,69.88,-11.07,-26.48,+3.75,YES,0.1459,1.0000,0.7093,区別できない
頭数,17-18頭,1462,62.28,66.82,-4.54,-35.96,+25.15,YES,0.7757,1.0000,0.9227,区別できない
年,2021,1084,63.32,48.76,+14.56,-18.26,+47.23,YES,0.3939,1.0000,0.7898,区別できない
年,2022,3329,57.86,68.80,-10.94,-34.86,+11.39,YES,0.3466,1.0000,0.7898,区別できない
年,2023,3321,60.91,74.36,-13.45,-37.34,+10.08,YES,0.2637,1.0000,0.7093,区別できない
年,2024,3318,53.34,62.73,-9.40,-35.44,+15.48,YES,0.4628,1.0000,0.8099,区別できない
年,2025,3325,59.39,54.59,+4.79,-13.83,+23.02,YES,0.5990,1.0000,0.8985,区別できない
年,2026,2283,52.06,55.49,-3.42,-27.88,+19.79,YES,0.7932,1.0000,0.9227,区別できない
場,札幌,838,67.40,45.32,+22.08,-16.50,+59.35,YES,0.2579,1.0000,0.7093,区別できない
場,函館,720,48.49,45.90,+2.59,-27.35,+31.87,YES,0.8664,1.0000,0.9227,区別できない
場,福島,1111,64.61,55.31,+9.31,-24.07,+40.32,YES,0.5603,1.0000,0.8985,区別できない
場,新潟,1474,62.25,65.73,-3.49,-34.69,+25.86,YES,0.8245,1.0000,0.9227,区別できない
場,東京,2598,56.36,54.59,+1.77,-26.48,+28.13,YES,0.8788,1.0000,0.9227,区別できない
場,中山,2423,51.90,65.51,-13.61,-38.87,+9.96,YES,0.2702,1.0000,0.7093,区別できない
場,中京,2024,67.45,81.13,-13.68,-47.31,+19.11,YES,0.4137,1.0000,0.7898,区別できない
場,京都,1818,61.49,58.30,+3.18,-29.86,+37.93,YES,0.8723,1.0000,0.9227,区別できない
場,阪神,2377,45.43,80.96,-35.53,-65.40,-7.46,NO,0.0128,0.2688,0.2688,区別できない
場,小倉,1277,56.80,43.13,+13.67,-10.15,+37.49,YES,0.2615,1.0000,0.7093,区別できない
