場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
栗東,C,左,20260707,火,4:58,タイセイドレフォン,,牡,7,3500,西村真幸,,157.9,136.9,116.8,98.5,81.4,64.7,47.7,30.9,15.3,21.0,20.1,18.3,17.1,16.7,17.0,16.8,15.6,15.3,2019105308,2026.7.7,栗東,ドレフォン,デイトユアドリーム,田中成奉,ノーザンファーム,,
栗東,C,左,20260707,火,4:58,ブルーザー,,牡,3,0,池添学,,154.7,135.4,115.5,96.9,80.2,63.2,46.5,30.1,14.8,19.3,19.9,18.6,16.7,17.0,16.7,16.4,15.3,14.8,2023106218,2026.7.7,栗東,モーリス,ピスカデーラ,名古屋友豊,坂東牧場,,
栗東,C,左,20260707,火,4:59,アメリカンサクラ,,牡,3,0,矢作芳人,,,,,,95.6,74.8,54.9,35.2,17.3,,,,,20.8,19.9,19.7,17.9,17.3,2023110080,2026.7.7,栗東,"Liam's Map",Schon,吉澤ホールディングス,"Benson Farm",,
栗東,C,左,20260707,火,4:59,コルヴァス,,牡,3,400,矢作芳人,,,,,,95.3,74.6,54.7,34.9,17.3,,,,,20.7,19.9,19.8,17.6,17.3,2023104411,2026.7.7,栗東,キズナ,ペルルドール,寺田寿男,ノースヒルズ,,
栗東,C,左,20260707,火,4:59,ブームバップビート,,牡,3,400,中内田充,,160.9,141.4,121.7,103.6,86.5,68.6,50.4,32.5,16.1,19.5,19.7,18.1,17.1,17.9,18.2,17.9,16.4,16.1,2023110070,2026.7.7,栗東,"Into Mischief","Point of Honor",藤田晋,"Alpha Delta Stables LLC",,
栗東,C,左,20260707,火,5:00,メイショウキンタイ,,牡,4,0,高橋亮,,165.4,145.4,124.7,106.3,88.1,69.4,50.9,32.9,16.4,20.0,20.7,18.4,18.2,18.7,18.5,18.0,16.5,16.4,2022100068,2026.7.7,栗東,フィエールマン,ビーマイステディ,松本好隆,大島牧場,,
栗東,C,左,20260707,火,5:00,ルブリアン,,牡,4,400,高橋亮,,164.2,143.9,124.0,105.2,87.4,68.6,49.9,32.4,15.9,20.3,19.9,18.8,17.8,18.8,18.7,17.5,16.5,15.9,2022106320,2026.7.7,栗東,シルバーステート,ネーラペルレ,"GET NEXT",須崎牧場,,
栗東,C,左,20260707,火,5:01,カローナ,,牡,2,未出走,高橋義忠,,164.8,143.9,124.3,105.2,86.9,67.7,49.2,32.3,16.2,20.9,19.6,19.1,18.3,19.2,18.5,16.9,16.1,16.2,2024102953,2026.7.7,栗東,リアルインパクト,マレンカヤ,加藤徹,大狩部牧場,,
栗東,C,左,20260707,火,5:01,フライングブレード,,牡,6,1500,飯田祐史,,185.8,161.4,137.4,115.0,94.0,73.6,54.0,35.0,17.4,24.4,24.0,22.4,21.0,20.4,19.6,19.0,17.6,17.4,2020100906,2026.7.7,栗東,ビッグアーサー,ルプス,中辻明,バンブー牧場,,
栗東,C,左,20260707,火,5:02,カフジミモレット,,牝,3,0,森田直行,,,,,,102.2,78.8,58.4,38.5,19.3,,,,,23.4,20.4,19.9,19.2,19.3,2023103890,2026.7.7,栗東,ドレフォン,サルスエラ,加藤千豊,レイクヴィラファーム,,
栗東,C,左,20260707,火,5:02,サンデーファンデー,,牡,6,9550,東田明士,,,,,,91.4,70.5,51.0,32.8,16.3,,,,,20.9,19.5,18.2,16.5,16.3,2020104136,2026.7.7,栗東,スズカコーズウェイ,ファーストレディ,吉澤ホールディングス,グランド牧場,,
栗東,C,左,20260707,火,5:02,サンライズジュピタ,,牡,4,400,石坂公一,,,,,,90.5,68.9,49.7,32.4,16.3,,,,,21.6,19.2,17.3,16.1,16.3,2022103307,2026.7.7,栗東,ディスクリートキャット,ラブリーアリュール,松岡隆雄,ミリオンファーム,,
