場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
美浦,D,右,20260822,土,5:01,アルセナール,,牝,5,2050,木村哲也,,,,,,,68.6,49.7,31.3,14.7,,,,,,18.9,18.4,16.6,14.7,2021105548,2026.8.22,美浦,エピファネイア,サンブルエミューズ,キャロットファーム,ノーザンファーム,,
美浦,D,右,20260822,土,5:01,コンヴァージョン,,牡,4,170,上原博之,209.9,171.7,149.0,127.8,107.4,88.7,70.6,52.4,34.5,17.3,22.7,21.2,20.4,18.7,18.1,18.2,17.9,17.2,17.3,2022110092,2026.8.22,美浦,Caravaggio,"With Her Affection",栗山学,"Manabu Kuriyama",,
美浦,D,右,20260822,土,5:01,イクシード,,牝,3,900,木村哲也,,,,,,,66.6,48.2,30.7,14.7,,,,,,18.4,17.5,16.0,14.7,2023107030,2026.8.22,美浦,キタサンブラック,シャトーブランシュ,シルクレーシング,ノーザンファーム,,
美浦,D,右,20260822,土,5:01,レッドレガリア,,牡,3,0,木村哲也,,,,,,,72.5,51.2,32.1,15.3,,,,,,21.3,19.1,16.8,15.3,2023107340,2026.8.22,美浦,エピファネイア,レッドファンタジア,東京ホースレーシング,ノーザンファーム,,
美浦,D,右,20260822,土,5:01,フェイトロード,,牡,2,未出走,木村哲也,,,,,,,66.2,49.0,30.8,15.2,,,,,,17.2,18.2,15.6,15.2,2024106456,2026.8.22,美浦,"Wootton Bassett",チャネル,サンデーレーシング,ノーザンファーム,,
美浦,D,右,20260822,土,5:01,ホウオウビリーヴ,,牡,2,0,木村哲也,,,,,,,67.9,49.2,31.2,15.0,,,,,,18.7,18.0,16.2,15.0,2024106585,2026.8.22,美浦,インディチャンプ,ベルアリュール2,小笹芳央,ノーザンファーム,,
美浦,D,右,20260822,土,5:04,ツルマウカタチ,,牡,5,900,手塚貴久,,,,,,,80.6,56.1,35.1,17.1,,,,,,24.5,21.0,18.0,17.1,2021102106,2026.8.22,美浦,ヤングマンパワー,ハイタッチクイーン,星野壽市,前野牧場,,
美浦,D,右,20260822,土,5:04,バードウォッチャー,,牡,5,900,中舘英二,,,,,,,67.3,49.1,31.5,15.4,,,,,,18.2,17.6,16.1,15.4,2021105375,2026.8.22,美浦,ブラックタイド,アパパネ,金子真人ホールディングス,ノーザンファーム,,
美浦,D,右,20260822,土,5:04,チェルヴィニア,,牝,5,15800,木村哲也,,,,,,,68.4,49.0,31.4,15.3,,,,,,19.4,17.6,16.1,15.3,2021105643,2026.8.22,美浦,ハービンジャー,チェッキーノ,サンデーレーシング,ノーザンファーム,,
美浦,D,右,20260822,土,5:05,カーヌスティ,,牡,4,1310,大和田成,,,,,,,65.2,47.2,30.6,14.9,,,,,,18.0,16.6,15.7,14.9,2022103639,2026.8.22,美浦,ロードカナロア,ヤマカツマリリン,嶋田一成,岡田牧場,,
美浦,D,右,20260822,土,5:05,サノノグレーター,,牡,3,2950,尾形和幸,,,,,,,68.3,49.0,31.1,15.0,,,,,,19.3,17.9,16.1,15.0,2023100724,2026.8.22,美浦,グレーターロンドン,メメクザリアーナ,佐野信幸,沖田牧場,,
美浦,D,右,20260822,土,5:05,ディールメーカー,,牡,3,1700,大和田成,,,,,,,63.8,46.2,30.1,14.7,,,,,,17.6,16.1,15.4,14.7,2023103326,2026.8.22,美浦,イスラボニータ,アームズレングス,諸江幸祐,社台ファーム,,
美浦,D,右,20260822,土,5:06,ブルバンビーナ,,牝,4,400,尾形和幸,,,,,,,67.2,48.5,31.8,15.5,,,,,,18.7,16.7,16.3,15.5,2022101749,2026.8.22,美浦,キズナ,パールヴァティー,高田秀信,チャンピオンズファーム,,
美浦,D,右,20260822,土,5:06,ホノボノ,,牡,3,400,尾形和幸,,,,,,,68.6,50.8,32.9,16.2,,,,,,17.8,17.9,16.7,16.2,2023100581,2026.8.22,美浦,ダノンプレミアム,ホオポノポノ,ノルマンディーサラブレッドレーシング,アイズスタッド,,
美浦,D,右,20260822,土,5:06,ガヤーズベース,,牡,3,0,田中勝春,,,,,91.3,70.5,52.8,37.7,24.3,11.9,,,,20.8,17.7,15.1,13.4,12.4,11.9,2023105114,2026.8.22,美浦,フォーウィールドライブ,ヴィンチェーレ,小谷野宗靖,桑田牧場,,
美浦,D,右,20260822,土,5:06,アオイノリプー,,牡,2,0,尾形和幸,,,,,,,67.3,49.4,32.5,15.7,,,,,,17.9,16.9,16.8,15.7,2024100715,2026.8.22,美浦,サートゥルナーリア,アオイスカーレット,中谷典生,チャンピオンズファーム,,
美浦,D,右,20260822,土,5:06,ヤマニンスペッキオ,,牡,2,未出走,田中勝春,,,,,90.8,70.4,52.6,37.6,24.3,11.8,,,,20.4,17.8,15.0,13.3,12.5,11.8,2024102784,2026.8.22,美浦,シュヴァルグラン,ヤマニンパソドブル,土井肇,廣田光夫,,
美浦,D,右,20260822,土,5:06,イントリー,,牝,2,未出走,尾形和幸,,,,,,,74.2,54.0,35.5,17.2,,,,,,20.2,18.5,18.3,17.2,2024105539,2026.8.22,美浦,フィエールマン,ストライプ,佐藤壽男,本桐村田牧場,,
美浦,D,右,20260822,土,5:06,ヴァルキリーキック,,牝,2,未出走,田中勝春,,,,,90.1,70.3,52.3,37.4,24.2,11.9,,,,19.8,18.0,14.9,13.2,12.3,11.9,2024106072,2026.8.22,美浦,オルフェーヴル,リトルモンスター,吉田照哉,社台ファーム,,
美浦,D,右,20260822,土,5:07,ジャンビ,,牝,5,590,勢司和浩,,,,,,,77.3,56.4,36.5,17.8,,,,,,20.9,19.9,18.7,17.8,2021103878,2026.8.22,美浦,スクリーンヒーロー,グローバルフェイム,成富直行,静内白井牧場,,
美浦,D,右,20260822,土,5:07,アーバーバイティ,,牡,2,未出走,武市康男,,,,,,,66.8,48.6,31.6,15.2,,,,,,18.2,17.0,16.4,15.2,2024102849,2026.8.22,美浦,フォーウィールドライブ,ホーキーポーキー,ミルファーム,ミルファーム,,
美浦,D,右,20260822,土,5:07,グランレーヴ,,牡,2,未出走,武市康男,,,,,,,66.8,48.7,31.7,15.2,,,,,,18.1,17.0,16.5,15.2,2024103159,2026.8.22,美浦,ルヴァンスレーヴ,ノットイェット,瀬谷隆雄,須崎牧場,,
美浦,D,右,20260822,土,5:08,ポッドロワール,,牡,4,1500,畠山吉宏,,,,,,,69.4,49.3,32.0,15.8,,,,,,20.1,17.3,16.2,15.8,2022101573,2026.8.22,美浦,レイデオロ,レディヴァルール,小川眞査雄,スマイルファーム,,
美浦,D,右,20260822,土,5:08,ショウナンタハティ,,牡,4,200,中舘英二,,,,,,,66.1,48.3,31.4,15.7,,,,,,17.8,16.9,15.7,15.7,2022103911,2026.8.22,美浦,ドレフォン,ショウナンマシェリ,湘南,静内フアーム,,
美浦,D,右,20260822,土,5:08,トレインザマインド,,セ,4,900,中舘英二,,,,,,,66.5,48.5,31.6,15.7,,,,,,18.0,16.9,15.9,15.7,2022104766,2026.8.22,美浦,マインドユアビスケッツ,ケアレスウィスパー,キャロットファーム,ノーザンファーム,,
美浦,D,右,20260822,土,5:08,ビービーアジャイル,,牡,3,900,中舘英二,,,,,,,67.1,49.1,31.6,15.4,,,,,,18.0,17.5,16.2,15.4,2023106494,2026.8.22,美浦,サンダースノー,ツインダイヤ,坂東牧場,ファーミングヤナキタ,,
美浦,D,右,20260822,土,5:08,ギガントシュラーク,,牡,2,未出走,萱野浩二,,,,,,,70.5,50.8,33.1,16.3,,,,,,19.7,17.7,16.8,16.3,2024101182,2026.8.22,美浦,アニマルキングダム,ケイディーズバック,楠本勝大,門別牧場,,
美浦,D,右,20260822,土,5:08,シリアルトウショウ,,牝,2,未出走,萱野浩二,,,,,,,70.1,51.1,33.5,16.1,,,,,,19.0,17.6,17.4,16.1,2024104744,2026.8.22,美浦,ステルヴィオ,スールトウショウ,トウショウ産業,トウショウ産業株式会社トウショウ牧場,,
