日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,騎手,基準オッズ,人気,ラップ適性,ラップキャラ,SAV,信頼度,妙味度,展開順位,ST指数,仕上指数,合計値,合計値順位,出遅率,先行力,追走力,持久力,持続力,瞬発力,前3F順位,前3F差,前3F内外,勝負所順位,勝負所差,勝負所内外,G前順位,G前差,G前内外,斤量,騎手タイプ,騎手指数,騎手コメント,当該コース騎手総数,当該コース騎手勝率,当該コース騎手連対率,当該コース騎手複勝率,厩舎,最近放牧先,何走目,厩舎外厩総数,厩舎外厩勝率,厩舎外厩連対率,厩舎外厩複勝率,馬外厩総数,馬外厩勝率,馬外厩連対率,馬外厩複勝率,性,齢,前肢,後肢,蹄,重適性,特記1,特記2,特記3,父馬名,血統総数,血統勝率,血統連対率,血統複勝率,1週前追切,最終追切,調教指数,調教パターン,source_url,source_status
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,1,ロマンス,石橋脩,29.0,9,中速バランス,,43,Ｄ,Ｄ,12,29,39,-12,12,0%,55 (5),51 (8),47 (10),36 (14),35 (15),3,4,内,6,3,中,12,10,中,55,[先][追],61,"調教師○,コース○",90,4%,13%,26%,上原佑紀,トゥモローＦ栃木,1,67,10 %,19 %,30 %,2,0%,0%,0 %,牝,3,短,短,中標ベ,○,完歩小さ,腰甘い,,エピファネイア,60,8%,12%,17%,53(南Ｗ),53(南Ｗ),39,併用終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,2,オーパパ,佐藤翔馬,69.4,12,低速スタミナ,,43,Ｄ,Ｄ,13,31,39,-10,10,0%,56 (3),32 (15),32 (15),44 (10),58 (5),4,4,中,11,7,中,13,10,大外,54,,39,,33,0%,0%,6%,斎藤誠,エスティＦ小見川,1,255,9 %,15 %,25 %,6,0%,0%,0 %,牡,3,短,短,小ベ,△,腰甘い,,,アメリカンペイトリオット,35,9%,11%,14%,45(美坂),44(美坂),39,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,3,ネイティヴプライド,松山弘平,14.0,6,超低速バランス,,54,Ｄ,Ｄ,8,38,39,-3,7,0%,55 (4),60 (3),54 (6),55 (7),52 (8),6,6,内,3,1,内,8,7,内,57,[先][続][瞬],58,"枠脚質×,直近▲",24,17%,29%,38%,高木登,ノーザンＦ天栄,6,,,,,,,,,牡,3,短,普,中標ベ,△,上が速×,腰甘い,,クリソベリル,20,30%,45%,55%,42(南Ｗ),52(南Ｗ),39,併用平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,4,ダイヒョウカーク,杉原誠人,46.6,10,超低速スタミナ,カスリ,40,Ｄ,Ｄ,14,28,36,-16,13,50%,50 (8),52 (6),52 (8),40 (12),35 (14),7,6,中,5,3,外,14,11,外,57,[追][瞬],40,"コース×,枠脚質×",82,5%,6%,13%,松山将樹,ＫＳトレーニングＣ,3,66,5 %,9 %,11 %,,,,,牡,3,短,短,小ベ,△,腰甘い,,,ダンカーク,51,2%,8%,8%,59(南Ｗ),51(南Ｗ),36,コース終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,5,プリヴィマーク,武藤雅,49.0,11,中速瞬発,,51,Ｄ,Ｄ,9,25,28,-27,15,0%,30 (15),39 (13),56 (4),43 (11),36 (13),14,12,最内,15,10,最内,9,8,外,57,[久][続][瞬],53,"馬主○,コース○,枠脚質×",111,6%,14%,20%,池上昌和,ノーザンＦ天栄,1,129,12 %,22 %,29 %,2,0%,0%,0 %,牡,3,短,短,小ベ,○,腰甘い,,,バゴ,19,5%,11%,11%,25(南Ｗ),48(南Ｗ),28,併用平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,6,ガードオブオナー,津村明秀,4.8,2,中速瞬発,,70,Ｃ,Ｃ,4,44,40,4,3,29%,50 (9),68 (1),64 (2),57 (5),47 (10),9,8,内,1,0,中,4,2,中,57,[続][瞬],66,"調教師○,コース○,枠脚質×,直近◎",89,10%,17%,34%,林徹,ノーザンＦ天栄,1,318,15 %,27 %,37 %,6,0%,33%,33 %,牡,3,普,普,中ベ,○,腰甘い,良脚長使,上が速×,サトノダイヤモンド,43,2%,7%,23%,56(南Ｗ),53(南Ｗ),40,坂路終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,7,ゴールドプレイヤー,戸崎圭太,3.0,1,超低速スタミナ,カスリ,77,Ｂ,ＡＡ,1,44,45,9,2,0%,55 (6),60 (4),54 (7),55 (6),53 (7),5,6,最内,4,2,最内,1,0,外,57,[先][続][瞬],59,"コース○,枠脚質×,直近×",72,22%,33%,44%,古賀慎明,ＫＳトレーニングＣ,3,4,0 %,25 %,50 %,,,,,牡,3,短,短,小標ベ,◎,大トビ,上が掛○,腰甘い,ゴールドアクター,10,30%,30%,40%,67(南Ｗ),60(南Ｗ),45,併用終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,8,エターナルホープ,原優介,6.3,4,低速持続,,64,Ｃ,Ｄ,6,38,34,-8,8,40%,48 (11),41 (12),45 (11),54 (8),60 (3),12,10,内,12,7,最内,6,4,中,57,[追][久][続],41,"コース○,枠脚質○,直近○",141,4%,9%,13%,鈴木慎太郎,ＫＳトレーニングＣ,2,30,0 %,0 %,7 %,1,0%,0%,100 %,牡,3,短,短,小ベ,◎,腰甘い,府中向き,,エピカリス,10,0%,10%,20%,,45(南Ｗ),34,コース終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,9,オウケンサクラコ,丸田恭介,21.6,8,超低速スタミナ,カスリ,65,Ｃ,Ｓ,5,42,36,-2,6,86%,36 (14),61 (2),68 (1),63 (1),51 (9),11,10,最内,8,5,中,5,3,大外,55,[続][瞬],46,"コース○,枠脚質○",69,4%,12%,14%,田中勝春,ＬＩＯ　ＲＣ,2,3,0 %,0 %,0 %,,,,,牝,3,短,短,小標ベ,△,脚抜ダ○,砂被る×,展開待ち,レインボーライン,10,10%,30%,30%,47(美坂),39(美坂),36,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,10,マーゴットライズ,菊沢一樹,14.6,7,超低速底力,ピッタリ,63,Ｃ,Ｓ,7,40,39,-1,5,57%,38 (13),51 (7),59 (3),60 (3),55 (6),15,12,内,13,7,内,7,4,外,57,[続][瞬],54,"コース×,枠脚質○,直近◎,誕(無)",202,5%,10%,16%,伊坂重信,ノーザンＦ天栄,4,1,0 %,0 %,0 %,,,,,牡,3,短,短,小ベ,○,脚抜ダ○,腰甘い,新潟向き,インディチャンプ,5,0%,0%,20%,,55(新ダ),39,コース平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,11,アデルフィー,三浦皇成,5.0,3,超低速バランス,,71,Ｃ,Ｃ,3,44,49,13,1,17%,54 (7),50 (10),47 (9),58 (4),63 (1),10,8,中,10,5,外,3,2,外,57,[続][瞬],62,"コース○,枠脚質○,直近▲",78,14%,24%,29%,金成貴史,相川牧場,3,2,0 %,50 %,50 %,2,0%,50%,50 %,牡,3,短,普,細標ベ,△,腰甘い,緩急苦手,高脚使う,モーニン,14,7%,14%,14%,58(南Ｗ),65(南Ｗ),49,コース終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,12,ヌビアン,石田拓郎,117.1,15,超低速底力,ピッタリ,47,Ｄ,Ｄ,10,33,38,-9,9,33%,69 (1),54 (5),40 (13),37 (13),42 (11),1,0,最内,2,0,最内,10,9,最内,55,,43,"コース×,直近○",81,2%,5%,9%,清水英克,小野瀬ファーム,4,2,0 %,0 %,0 %,,,,,牡,3,短,短,小標ベ,△,腰甘い,脚捌き△,,シニスターミニスター,142,8%,18%,25%,29(美坂),51(美坂),38,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,13,バターショコラ,小崎綾也,70.8,13,低速底力,カスリ,43,Ｄ,Ｄ,11,34,35,-11,11,60%,48 (10),37 (14),42 (12),51 (9),59 (4),13,10,中,14,8,外,11,10,内,55,[久][続][瞬],54,枠脚質×,36,14%,22%,33%,戸田博文,ムラセファーム,2,129,4 %,10 %,17 %,1,0%,0%,0 %,牝,3,短,短,細標ベ,△,追頭上る,完歩小さ,高速場×,マインドユアビスケッツ,62,10%,18%,23%,,47(南Ｗ),35,コース終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,14,ハチマン,水沼元輝,89.4,14,高速持続,,30,Ｄ,Ｄ,15,23,35,-22,14,0%,62 (2),42 (11),36 (14),34 (15),41 (12),2,4,最内,9,5,最内,15,14,最内,54,[瞬],33,,50,0%,4%,8%,柄崎将寿,大東牧場,2,2,0 %,0 %,0 %,1,0%,0%,0 %,牡,3,短,短,小標起,△,腰甘い,,,アルアイン,12,0%,8%,8%,,46(美坂),35,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260829&racekey=04263302&jo=0&idpm=iFT66JycF8pFY,PASS
