日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,枠,印,性齢,斤量,騎手,最高指数,5走平均,距離指数,コース指数,3走,2走,前走,単勝オッズ,人気,source_url,source_status
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,1,ロマンス,1,--,牝3,55,石橋脩,-,-,未,未,-,63,64,49,9,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,2,オーパパ,2,--,牡3,54,▲佐藤翔馬,79,51,44,未,70,55,48,174.3,13,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,3,ネイティヴプライド,2,--,牡3,57,松山弘平,77,69,62,54,77,74,54,10.4,5,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,4,ダイヒョウカーク,3,--,牡3,57,杉原誠人,47,37*,36,36,47,28,36,75.9,10,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,5,プリヴィマーク,3,--,牡3,57,武藤雅,-,-,未,未,-,63,67,182.8,14,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,6,ガードオブオナー,4,--,牡3,57,津村明秀,-,-,未,未,83,84,82,4.7,2,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,7,ゴールドプレイヤー,4,--,牡3,57,戸崎圭太,73,65,73,45,70,70,45,3.2,1,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,8,エターナルホープ,5,--,牡3,57,原優介,71,61,57,57,71,69,57,11.1,6,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,9,オウケンサクラコ,5,--,牝3,55,丸田恭介,75,69*,61,61,75,66,61,17.9,8,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,10,マーゴットライズ,6,--,牡3,57,菊沢一樹,74,61*,74,74,61,74,63,16.3,7,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,11,アデルフィー,6,--,牡3,57,三浦皇成,78,69,74,70,70,56,67,5.3,3,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,12,ヌビアン,7,--,牡3,55,△石田拓郎,57,45*,57,57,42,36,57,218.3,15,https://race.netkeiba.com/race/speed.html?race_id=202604030302,PASS
