日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,IDM,IDM印,脚質,騎手名,斤量,調教師,所属,基準単勝,基準複勝,source_url,source_status
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,1,ゴールドバーニング,16,,,石神道,53△,柄崎将,美,25.9,4.4,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,2,ゴルトシェーン,17,,,今村聖,53◇,武井亮,美,19.3,3.5,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,3,ウラノグラフィア,36,○,,岩田望,55,宮田敬,美,2.8,1.2,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,4,マイトレーヤー,17,▽,,津村明,55,手塚徳,美,16.2,3,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,5,ミシェルバローズ,32,▲,,三浦皇,55,中内田,栗,4.9,1.5,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,6,ニシノマキロイ,13,,,野中悠,55,田中勝,美,20.4,3.7,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,7,ピーエムリンダ,10,,,武藤雅,55,和田一,美,29.1,4.9,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,8,ウィザードシチー,10,,,亀田温,55,北出成,栗,30.1,5,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,9,レッドマウロア,38,◎,,川田将,55,加藤征,美,2.7,1.2,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,10,スタレネルヴェント,10,,,原優介,55,高木登,美,51.5,8.1,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
