日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,基準単勝,基準複勝,オッズ種別,source_url,source_status
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,1,ゴールドバーニング,25.9,4.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,2,ゴルトシェーン,19.3,3.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,3,ウラノグラフィア,2.8,1.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,4,マイトレーヤー,16.2,3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,5,ミシェルバローズ,4.9,1.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,6,ニシノマキロイ,20.4,3.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,7,ピーエムリンダ,29.1,4.9,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,8,ウィザードシチー,30.1,5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,9,レッドマウロア,2.7,1.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,10,スタレネルヴェント,51.5,8.1,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263402.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
