日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,馬トク指数,IDM,激走指数,激印,激走要因1,激走要因2,激走要因3,基準単オッズ,基準人気,馬体重,増減,波乱度,1番人気信頼度,1番人気妙味度,source_url,source_status
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,1,ゴールドバーニング,47,16.2,45.88,0,,,,25.9,8,,,B,D,A,https://umatoku.hochi.co.jp/data/race/04263402/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,2,ゴルトシェーン,47,17.2,49.3,2,,,,19.3,6,,,B,D,A,https://umatoku.hochi.co.jp/data/race/04263402/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,3,ウラノグラフィア,70.6,35.5,55.48,0,,,,2.8,2,,,B,D,A,https://umatoku.hochi.co.jp/data/race/04263402/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,4,マイトレーヤー,47,17.3,44.67,0,,,,16.2,5,,,B,D,A,https://umatoku.hochi.co.jp/data/race/04263402/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,5,ミシェルバローズ,66.3,31.6,54.56,0,,,,4.9,3,,,B,D,A,https://umatoku.hochi.co.jp/data/race/04263402/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,6,ニシノマキロイ,44,13.1,43.56,0,,,,20.4,7,,,B,D,A,https://umatoku.hochi.co.jp/data/race/04263402/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,7,ピーエムリンダ,40,10,41.69,0,,,,29.1,9,,,B,D,A,https://umatoku.hochi.co.jp/data/race/04263402/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,8,ウィザードシチー,42,10.1,44.05,0,,,,30.1,10,,,B,D,A,https://umatoku.hochi.co.jp/data/race/04263402/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,9,レッドマウロア,59.6,38.4,57.89,1,,,,2.7,1,,,B,D,A,https://umatoku.hochi.co.jp/data/race/04263402/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,10,スタレネルヴェント,41,10.2,44.66,0,,,,51.5,13,,,B,D,A,https://umatoku.hochi.co.jp/data/race/04263402/previous,PASS_EMBEDDED_JSON
