日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,コンピ順位,コンピ指数,コンピ元表示,source_url,source_status
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,1,ゴールドバーニング,8,51,"1
51",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,2,ゴルトシェーン,6,53,"2
53",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,3,ウラノグラフィア,2,76,"3
76",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,4,マイトレーヤー,5,54,"4
54",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,5,ミシェルバローズ,3,67,"5
67",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,6,ニシノマキロイ,10,49,"6
49",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,7,ピーエムリンダ,9,50,"7
50",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,8,ウィザードシチー,13,46,"8
46",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,9,レッドマウロア,1,79,"9
79",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,10,スタレネルヴェント,12,47,"10
47",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,11,ギガントシュラーク,11,48,"11
48",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,12,エコロゲラン,7,52,"12
52",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,13,タイセイリッター,4,56,"13
56",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,3,202604030403,04263403,10:45,3R 芝2000 ２歳未勝利 10:45,1,ケイジャーダ,7,47,"1
47",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,3,202604030403,04263403,10:45,3R 芝2000 ２歳未勝利 10:45,2,ニシノリリックス,6,48,"2
48",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,3,202604030403,04263403,10:45,3R 芝2000 ２歳未勝利 10:45,3,イカルステソーロ,1,75,"3
75",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,3,202604030403,04263403,10:45,3R 芝2000 ２歳未勝利 10:45,4,タイセイソアリング,3,65,"4
65",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,3,202604030403,04263403,10:45,3R 芝2000 ２歳未勝利 10:45,5,エクスマキナ,2,74,"5
74",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,3,202604030403,04263403,10:45,3R 芝2000 ２歳未勝利 10:45,6,ウイニングレイ,4,64,"6
64",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,3,202604030403,04263403,10:45,3R 芝2000 ２歳未勝利 10:45,7,ハンデンブレイズ,5,55,"7
55",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,3,202604030403,04263403,10:45,3R 芝2000 ２歳未勝利 10:45,8,ルークスイテルム,8,40,"8
40",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,1,ヒズストーリー,7,50,"1
50",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,2,チェスティーノ,1,80,"2
80",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,3,ガヤーズサムライ,6,51,"3
51",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,4,キャッチアップ,9,47,"4
47",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,5,オオルリ,11,40,"5
40",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,6,ペントザリス,4,61,"6
61",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,7,マイネルウルカヌス,8,49,"7
49",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,8,ダディーズレガリア,3,63,"8
63",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
