調教師,単回_5年,複回_5年,n_5年,単回_当年,複回_当年,n_当年,出所,asof
井上智史,93.0,102.0,151.0,,,,実:db-keiba/entity,20260802
宮地貴稔,94.0,95.0,253.0,,,,実:db-keiba/entity,20260802
佐藤悠太,103.0,95.0,207.0,,,,実:db-keiba/entity,20260802
千田輝彦,89.0,93.0,1308.0,,,,実:db-keiba/entity,20260802
森一誠,94.0,90.0,302.0,,,,実:db-keiba/entity,20260802
森秀行,94.0,90.0,1436.0,,,,実:db-keiba/entity,20260802
和田正一郎,79.0,89.0,1015.0,,,,実:db-keiba/entity,20260802
稲垣幸雄,89.0,89.0,980.0,,,,実:db-keiba/entity,20260802
大橋勇樹,90.0,89.0,1451.0,,,,実:db-keiba/entity,20260802
田中勝春,62.0,89.0,128.0,,,,実:db-keiba/entity,20260802
上原佑紀,85.0,89.0,635.0,,,,実:db-keiba/entity,20260802
宮本博,80.0,88.0,1199.0,,,,実:db-keiba/entity,20260802
河崋宏樹,71.0,88.0,505.0,,,,実:db-keiba/entity,20260802
中村直也,81.0,88.0,964.0,,,,実:db-keiba/entity,20260802
中竹和也,83.0,88.0,1616.0,,,,実:db-keiba/entity,20260802
小島茂之,99.0,88.0,1142.0,,,,実:db-keiba/entity,20260802
千葉直人,80.0,88.0,397.0,,,,実:db-keiba/entity,20260802
田中克典,101.0,88.0,1066.0,,,,実:db-keiba/entity,20260802
辺野泰之,89.0,88.0,1001.0,,,,実:db-keiba/entity,20260802
鈴木慎太郎,91.0,88.0,1076.0,,,,実:db-keiba/entity,20260802
小林真也,97.0,88.0,1059.0,,,,実:db-keiba/entity,20260802
上村洋行,97.0,88.0,1142.0,,,,実:db-keiba/entity,20260802
四位洋文,85.0,88.0,1054.0,,,,実:db-keiba/entity,20260802
吉岡辰弥,92.0,88.0,1192.0,,,,実:db-keiba/entity,20260802
田中剛,80.0,88.0,935.0,,,,実:db-keiba/entity,20260802
堀宣行,89.0,87.0,1131.0,,,,実:db-keiba/entity,20260802
大根田裕之,94.0,87.0,1040.0,,,,実:db-keiba/entity,20260802
武幸四郎,83.0,87.0,1313.0,,,,実:db-keiba/entity,20260802
池上昌和,81.0,87.0,1101.0,,,,実:db-keiba/entity,20260802
北出成人,75.0,87.0,1490.0,,,,実:db-keiba/entity,20260802
武英智,79.0,87.0,1637.0,,,,実:db-keiba/entity,20260802
石坂公一,87.0,86.0,1261.0,,,,実:db-keiba/entity,20260802
庄野靖志,76.0,86.0,1240.0,,,,実:db-keiba/entity,20260802
杉山晴紀,90.0,86.0,1856.0,,,,実:db-keiba/entity,20260802
西園翔太,85.0,86.0,678.0,,,,実:db-keiba/entity,20260802
高木登,94.0,86.0,1391.0,,,,実:db-keiba/entity,20260802
鹿戸雄一,84.0,86.0,1447.0,,,,実:db-keiba/entity,20260802
岡田稲男,91.0,86.0,1239.0,,,,実:db-keiba/entity,20260802
牧浦充徳,98.0,86.0,1249.0,,,,実:db-keiba/entity,20260802
佐々木晶三,94.0,86.0,1068.0,,,,実:db-keiba/entity,20260802
高柳大輔,82.0,86.0,1210.0,,,,実:db-keiba/entity,20260802
小栗実,93.0,85.0,679.0,,,,実:db-keiba/entity,20260802
木村哲也,81.0,85.0,951.0,,,,実:db-keiba/entity,20260802
長谷川浩大,82.0,85.0,1272.0,,,,実:db-keiba/entity,20260802
浜田多実雄,91.0,85.0,1266.0,,,,実:db-keiba/entity,20260802
小野次郎,92.0,85.0,1091.0,,,,実:db-keiba/entity,20260802
大和田成,69.0,85.0,1179.0,,,,実:db-keiba/entity,20260802
武井亮,74.0,85.0,1361.0,,,,実:db-keiba/entity,20260802
黒岩陽一,102.0,85.0,1038.0,,,,実:db-keiba/entity,20260802
吉田直弘,76.0,85.0,1179.0,,,,実:db-keiba/entity,20260802
武藤善則,82.0,85.0,1372.0,,,,実:db-keiba/entity,20260802
奥村豊,78.0,84.0,1434.0,,,,実:db-keiba/entity,20260802
谷潔,58.0,84.0,1137.0,,,,実:db-keiba/entity,20260802
竹内正洋,85.0,84.0,1211.0,,,,実:db-keiba/entity,20260802
松永幸夫,83.0,84.0,1620.0,,,,実:db-keiba/entity,20260802
加藤士津八,82.0,84.0,1299.0,,,,実:db-keiba/entity,20260802
嘉藤貴行,84.0,84.0,757.0,,,,実:db-keiba/entity,20260802
斉藤崇史,89.0,84.0,1423.0,,,,実:db-keiba/entity,20260802
青木孝文,74.0,84.0,1385.0,,,,実:db-keiba/entity,20260802
宮徹,65.0,84.0,1317.0,,,,実:db-keiba/entity,20260802
池添学,82.0,84.0,1290.0,,,,実:db-keiba/entity,20260802
杉山佳明,81.0,84.0,1460.0,,,,実:db-keiba/entity,20260802
扉塚貴久,70.0,84.0,1636.0,,,,実:db-keiba/entity,20260802
福永祐一,75.0,84.0,383.0,,,,実:db-keiba/entity,20260802
吉村圭司,86.0,84.0,1331.0,,,,実:db-keiba/entity,20260802
高野友和,81.0,83.0,1318.0,,,,実:db-keiba/entity,20260802
友道康夫,76.0,83.0,1471.0,,,,実:db-keiba/entity,20260802
荒川義之,76.0,83.0,1411.0,,,,実:db-keiba/entity,20260802
須貝尚介,84.0,83.0,1562.0,,,,実:db-keiba/entity,20260802
畠山吉宏,79.0,83.0,1261.0,,,,実:db-keiba/entity,20260802
辻哲英,90.0,83.0,898.0,,,,実:db-keiba/entity,20260802
藤野健太,81.0,83.0,407.0,,,,実:db-keiba/entity,20260802
中尾秀正,78.0,83.0,1199.0,,,,実:db-keiba/entity,20260802
斎藤誠,82.0,83.0,1930.0,,,,実:db-keiba/entity,20260802
高橋亮,77.0,83.0,1239.0,,,,実:db-keiba/entity,20260802
池江泰寿,73.0,82.0,1538.0,,,,実:db-keiba/entity,20260802
田島俊明,83.0,82.0,1340.0,,,,実:db-keiba/entity,20260802
田中博康,77.0,82.0,1075.0,,,,実:db-keiba/entity,20260802
和田勇介,85.0,82.0,1169.0,,,,実:db-keiba/entity,20260802
前川恭子,66.0,82.0,224.0,,,,実:db-keiba/entity,20260802
深山雅史,76.0,82.0,1224.0,,,,実:db-keiba/entity,20260802
蛯名正義,77.0,82.0,683.0,,,,実:db-keiba/entity,20260802
上原博之,70.0,82.0,1084.0,,,,実:db-keiba/entity,20260802
昆貢,74.0,81.0,985.0,,,,実:db-keiba/entity,20260802
水野貴広,75.0,81.0,1384.0,,,,実:db-keiba/entity,20260802
宮田敬介,74.0,81.0,1004.0,,,,実:db-keiba/entity,20260802
畑端省吾,66.0,81.0,948.0,,,,実:db-keiba/entity,20260802
藤岡健一,83.0,81.0,1366.0,,,,実:db-keiba/entity,20260802
