day,name,n_rows,dates,courses
2026-07-12,ジャスティンガルフ,4,20260707;20260707;20260708;20260710,ウッド;坂路
2026-07-12,メルキオル,4,20260707;20260707;20260708;20260710,坂路
2026-07-12,モンブランミノル,4,20260707;20260707;20260708;20260710,坂路
2026-07-12,テルヴィセクス,4,20260707;20260707;20260708;20260710,ウッド;坂路
2026-07-12,モーニングダリア,4,20260707;20260708;20260708;20260710,ウッド;坂路
2026-07-12,ドバイブルース,4,20260707;20260708;20260708;20260710,坂路
2026-07-12,ボーンディスウェイ,5,20260707;20260708;20260708;20260709;20260710,ウッド;坂路
2026-07-12,マイネルモーント,4,20260707;20260708;20260708;20260710,ウッド;坂路
2026-07-12,リカンカブール,4,20260707;20260707;20260708;20260710,坂路
2026-07-12,バトルボーン,4,20260707;20260708;20260710;20260710,ウッド;坂路
2026-07-12,オールナット,5,20260707;20260707;20260708;20260708;20260710,ウッド;坂路
2026-08-09,ガリアルダ,4,20260805;20260807;20260807;20260807,ウッド;坂路
2026-08-09,アオイノリプー,3,20260805;20260807;20260807,坂路
2026-08-09,シュヴァルツシルト,3,20260805;20260807;20260807,坂路
2026-08-09,ペイシャヴァルツー,2,20260807;20260807,ウッド;坂路
