race_day,starters,joined,unmatched,join_rate,hanro,wood,ped_missing,w0_days,w0_hanro_rows,w0_wood_rows,sat_hanro_file,sat_wood_file
2026-07-12,96,79,17,82.3%,58,21,58,5,4962,1450,True,True
2026-07-18,98,53,45,54.1%,27,26,27,5,1035,1004,True,True
2026-07-19,123,83,40,67.5%,44,39,44,5,1035,1004,True,True
2026-07-25,119,94,25,79.0%,53,41,53,5,1039,933,True,True
2026-07-26,101,90,11,89.1%,51,39,51,5,1039,933,True,True
2026-08-01,103,91,12,88.3%,49,42,49,5,1009,883,True,True
2026-08-02,84,53,31,63.1%,37,16,37,5,1009,883,True,True
2026-08-08,447,178,269,39.8%,165,13,165,5,2133,211,True,True
2026-08-09,479,239,240,49.9%,220,19,220,5,2133,211,True,True
2026-08-16,487,308,179,63.2%,180,128,180,5,950,894,True,True
2026-08-22,464,292,172,62.9%,161,131,161,5,963,905,True,True
2026-08-23,454,291,163,64.1%,164,127,164,5,963,905,True,True
