day,venue,race,name,pop,chaku,reason
2026-07-12,函館,11,エラトー,6,4,W0に追切なし
2026-07-12,函館,11,パレハ,2,8,W0に追切なし
2026-07-12,函館,11,シルトホルン,1,3,W0に追切なし
2026-07-12,函館,11,レディントン,11,11,W0に追切なし
2026-07-12,函館,11,ストレイトトーカー,5,14,W0に追切なし
2026-07-12,函館,11,レディネス,4,10,W0に追切なし
2026-07-12,函館,11,ヴーレヴー,8,1,W0に追切なし
2026-07-12,函館,11,パトリックハンサム,12,9,W0に追切なし
2026-07-12,函館,11,レディーヴァリュー,7,2,W0に追切なし
2026-07-12,函館,11,ウインシュクラン,13,13,W0に追切なし
2026-07-12,函館,11,リラボニート,9,6,W0に追切なし
2026-07-12,小倉,12,リアルアルバ,16,16,W0に追切なし
2026-07-12,小倉,12,ラブカムーン,14,8,W0に追切なし
2026-07-12,小倉,12,ギザキズラヴ,15,12,W0に追切なし
2026-07-12,福島,7,インザライムライト,8,6,W0に追切なし
2026-07-12,福島,7,ラルルジェンヌ,5,2,W0に追切なし
2026-07-12,福島,11,オニャンコポン,15,3,W0に追切なし
2026-07-18,函館,3,ジャストグレース,8,8,W0に追切なし
2026-07-18,函館,3,ザンテソーロ,4,4,W0に追切なし
2026-07-18,函館,3,マーゴットデウス,6,6,W0に追切なし
2026-07-18,函館,3,ウインガネーシャ,2,2,W0に追切なし
2026-07-18,函館,3,ハイランダー,5,5,W0に追切なし
2026-07-18,函館,3,リベンジャー,9,12,W0に追切なし
2026-07-18,函館,3,エトワールブルー,12,10,W0に追切なし
2026-07-18,函館,3,リバーソニック,3,1,W0に追切なし
2026-07-18,函館,3,フェンリル,10,7,W0に追切なし
2026-07-18,函館,3,ゴールデンボブ,7,11,W0に追切なし
2026-07-18,函館,3,ポップアップ,1,3,W0に追切なし
2026-07-18,函館,3,エースオブゴールド,11,9,W0に追切なし
2026-07-18,函館,5,サンオブザサン,8,8,W0に追切なし
2026-07-18,函館,5,バンダムソレール,10,2,W0に追切なし
2026-07-18,函館,5,チャーチルデュース,5,11,W0に追切なし
2026-07-18,函館,5,コウソクユノ,6,10,W0に追切なし
2026-07-18,函館,5,ディープマウンテン,13,12,W0に追切なし
2026-07-18,函館,5,イトシサ,3,3,W0に追切なし
2026-07-18,函館,5,フロムザムーン,14,5,W0に追切なし
2026-07-18,函館,5,ペガサスウィンド,4,4,W0に追切なし
2026-07-18,函館,5,ダノンアクション,7,14,W0に追切なし
2026-07-18,函館,5,ルージュプルーヴ,12,13,W0に追切なし
2026-07-18,函館,5,モンロワイヤル,1,6,W0に追切なし
2026-07-18,函館,5,レースクイーン,9,9,W0に追切なし
2026-07-18,函館,5,メイショウセンドウ,2,7,W0に追切なし
2026-07-18,函館,11,チュウワクリスエス,7,9,W0に追切なし
2026-07-18,函館,11,コトホドサヨウニ,9,13,W0に追切なし
2026-07-18,函館,11,オウギノカナメ,10,4,W0に追切なし
2026-07-18,函館,11,ホールシバン,12,5,W0に追切なし
2026-07-18,函館,11,イガッチ,5,10,W0に追切なし
2026-07-18,函館,11,テーオードレフォン,11,6,W0に追切なし
2026-07-18,函館,11,ラタフォレスト,4,8,W0に追切なし
2026-07-18,函館,11,ハグ,6,7,W0に追切なし
2026-07-18,函館,11,アスクデビューモア,13,11,W0に追切なし
2026-07-18,函館,11,ウェイワードアクト,1,1,W0に追切なし
2026-07-18,函館,11,ヒルノハンブルク,3,3,W0に追切なし
2026-07-18,函館,11,レヴォントゥレット,2,2,W0に追切なし
2026-07-18,函館,11,マーブルロック,8,12,W0に追切なし
2026-07-18,小倉,6,ムソウテンセイ,5,6,W0に追切なし
2026-07-18,小倉,6,ハクアイタワー,7,8,W0に追切なし
2026-07-18,福島,4,ダイユウルミナス,2,10,W0に追切なし
2026-07-18,福島,4,シエラモレーナ,12,5,W0に追切なし
2026-07-18,福島,4,ココニーナ,16,16,W0に追切なし
2026-07-18,福島,8,サトノセレナーデ,13,12,W0に追切なし
2026-07-18,福島,8,ルシェロアズーリ,1,6,W0に追切なし
2026-07-19,函館,3,サクセスゴールド,8,4,W0に追切なし
2026-07-19,函館,3,デルマバンダイサン,6,5,W0に追切なし
2026-07-19,函館,3,ルージュリヴィエラ,4,2,W0に追切なし
2026-07-19,函館,3,ロジクリスエス,10,6,W0に追切なし
2026-07-19,函館,3,マスカルポーネ,9,8,W0に追切なし
2026-07-19,函館,3,キヨタリート,11,14,W0に追切なし
2026-07-19,函館,3,キセログラフィカ,7,10,W0に追切なし
2026-07-19,函館,3,トーレス,14,9,W0に追切なし
2026-07-19,函館,3,ブレイズランナー,2,1,W0に追切なし
2026-07-19,函館,3,ドゥブルヴェ,13,12,W0に追切なし
2026-07-19,函館,3,ホウオウファラオ,3,3,W0に追切なし
2026-07-19,函館,3,スマートコーラル,5,7,W0に追切なし
2026-07-19,函館,3,ニシノモリミチ,1,11,W0に追切なし
2026-07-19,函館,3,ダイユウアドバンス,12,13,W0に追切なし
2026-07-19,函館,12,ザカリナン,5,2,W0に追切なし
2026-07-19,函館,12,コモンスナイプ,4,5,W0に追切なし
2026-07-19,函館,12,マグネシアブリック,3,3,W0に追切なし
2026-07-19,函館,12,ホウオウヘッセン,1,1,W0に追切なし
2026-07-19,函館,12,ロードクラシコ,2,7,W0に追切なし
2026-07-19,函館,12,ブラヴィーノ,14,12,W0に追切なし
2026-07-19,函館,12,ミスターバッドガイ,6,6,W0に追切なし
2026-07-19,函館,12,ロードヴェルテクス,10,8,W0に追切なし
2026-07-19,函館,12,シャインズオンユー,9,4,W0に追切なし
2026-07-19,函館,12,マイオウンウェイ,13,11,W0に追切なし
2026-07-19,函館,12,フレンドモナコ,11,13,W0に追切なし
2026-07-19,函館,12,ソードマスター,7,14,W0に追切なし
2026-07-19,函館,12,アヤサンジョリーン,12,9,W0に追切なし
2026-07-19,函館,12,ルクスアドラー,8,10,W0に追切なし
2026-07-19,小倉,7,アスクザアメリカン,16,8,W0に追切なし
2026-07-19,小倉,7,フィラーエ,6,7,W0に追切なし
2026-07-19,小倉,7,キョラムン,7,5,W0に追切なし
2026-07-19,小倉,7,ダイアナクイーン,3,2,W0に追切なし
2026-07-19,小倉,7,ペルフェツィオーネ,15,13,W0に追切なし
2026-07-19,小倉,11,トータルクラリティ,17,7,W0に追切なし
2026-07-19,小倉,11,サフィラ,8,11,W0に追切なし
2026-07-19,小倉,11,ケイズレーヴ,16,12,W0に追切なし
2026-07-19,福島,2,ルビーサンセット,16,14,W0に追切なし
2026-07-19,福島,2,ロジタイガー,14,15,W0に追切なし
2026-07-19,福島,4,カムオンオーバー,11,10,W0に追切なし
2026-07-19,福島,4,マッドヘッドラブ,14,11,W0に追切なし
2026-07-25,中京,4,ワイドヴィンクルム,12,11,W0に追切なし
2026-07-25,中京,12,アスクブームキセキ,9,6,W0に追切なし
2026-07-25,中京,12,ミッキーラヴィータ,1,8,W0に追切なし
2026-07-25,中京,12,シャンジュマン,16,13,W0に追切なし
2026-07-25,新潟,1,フルーツバスケット,2,2,W0に追切なし
2026-07-25,新潟,10,ベアエクスプレス,8,5,W0に追切なし
2026-07-25,新潟,10,マイトリックスター,15,6,W0に追切なし
2026-07-25,新潟,10,ゴールドビリーヴ,2,1,W0に追切なし
2026-07-25,新潟,10,オリエンタルガール,13,8,W0に追切なし
2026-07-25,新潟,10,アドバンスジェンヌ,9,9,W0に追切なし
2026-07-25,札幌,7,ペイシャアーサー,15,9,W0に追切なし
2026-07-25,札幌,7,ハッピーラッキー,5,3,W0に追切なし
2026-07-25,札幌,7,ナンナンプー,12,5,W0に追切なし
2026-07-25,札幌,7,シュークリーム,6,6,W0に追切なし
2026-07-25,札幌,7,ランプローグ,10,11,W0に追切なし
2026-07-25,札幌,7,セガンティーニ,4,12,W0に追切なし
2026-07-25,札幌,7,ニシノサリーナ,1,2,W0に追切なし
2026-07-25,札幌,7,サトノカスターニャ,7,14,W0に追切なし
2026-07-25,札幌,7,カイショー,2,7,W0に追切なし
2026-07-25,札幌,7,アイアムステキ,9,8,W0に追切なし
2026-07-25,札幌,7,ペガサスノース,8,15,W0に追切なし
2026-07-25,札幌,7,ジーティーエスピ,3,4,W0に追切なし
2026-07-25,札幌,7,グランテレーズ,11,1,W0に追切なし
2026-07-25,札幌,7,イズルード,14,10,W0に追切なし
2026-07-25,札幌,7,マティンデ,13,13,W0に追切なし
2026-07-26,中京,11,ラガークイン,13,15,W0に追切なし
2026-07-26,札幌,4,タイセイルビー,5,1,W0に追切なし
2026-07-26,札幌,4,ケンブリッジ,10,11,W0に追切なし
2026-07-26,札幌,4,タイガーゲイト,11,8,W0に追切なし
2026-07-26,札幌,4,アンミックス,3,10,W0に追切なし
2026-07-26,札幌,4,メイショウタイザン,4,6,W0に追切なし
2026-07-26,札幌,4,ショウナンタヅナ,6,5,W0に追切なし
2026-07-26,札幌,4,ロスニーニョス,9,7,W0に追切なし
2026-07-26,札幌,4,クルビデンス,8,2,W0に追切なし
2026-07-26,札幌,4,シンエンドーツダ,1,3,W0に追切なし
2026-07-26,札幌,4,セラサイト,2,4,W0に追切なし
2026-08-01,中京,7,オールセインツ,9,8,W0に追切なし
